Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
26	70	50.000000	2.000000	0.065694	3.112760	28.150728	1.708598e-31	-0.003486	-0.256309	0.798808
26	71	50.000000	2.000000	0.000254	5.750779	45.100552	5.886685e-41	-0.000250	-0.015940	0.987348
26	72	50.000000	2.000000	0.000881	3.345428	31.313747	1.334699e-33	0.000390	0.029685	0.976442
26	73	50.000000	2.000000	1.171636	2.693194	14.295381	6.371421e-19	0.025085	1.082422	0.284473
26	74	50.000000	2.000000	0.001842	5.722271	46.392853	1.562763e-41	-0.000651	-0.042919	0.965944
26	75	50.000000	2.000000	2.917156	5.829267	82.840492	1.828107e-53	-0.014784	-1.707970	0.094103
26	76	50.000000	2.000000	0.915280	6.841726	40.385437	1.032229e-38	-0.019937	-0.956702	0.343511
26	77	50.000000	2.000000	4.313807	8.208672	68.526558	1.526646e-49	-0.030605	-2.076970	0.043180
26	78	50.000000	2.000000	2.375953	5.973566	45.445442	4.117420e-41	-0.024924	-1.541411	0.129784
26	79	50.000000	2.000000	2.354438	6.930667	82.875732	1.791414e-53	-0.015785	-1.534418	0.131492
26	80	50.000000	2.000000	2.251675	6.168558	33.761318	4.201131e-35	0.033726	1.500559	0.140019
26	81	50.000000	2.000000	0.282160	4.612206	11.734563	1.045499e-15	0.025683	0.531187	0.597739
26	82	50.000000	2.000000	2.110591	5.238461	42.871475	6.330249e-40	0.021837	1.452787	0.152789
26	83	50.000000	2.000000	0.014236	3.055202	18.720325	1.063045e-23	-0.002395	-0.119316	0.905523
26	84	50.000000	2.000000	0.074528	4.357392	24.478121	9.126658e-29	-0.005978	-0.272999	0.786025
26	85	50.000000	2.000000	0.003879	3.890076	29.421057	2.301211e-32	0.001013	0.062280	0.950599
26	86	50.000000	2.000000	0.304999	6.520435	37.834053	2.155531e-37	0.011708	0.552268	0.583327
26	87	50.000000	2.000000	3.935284	5.901320	76.109215	1.036492e-51	0.018921	1.983755	0.053018
26	88	50.000000	2.000000	1.924810	5.176661	38.642452	8.064146e-38	-0.022863	-1.387376	0.171735
