Marker1	Marker2	Correlation	Lower	Upper	t-statistic
LINC00271	LINC00351	0.723815	0.557857	0.834114	7.267791
LINC00271	LINC00353	0.839527	0.732302	0.906131	10.705366
LINC00271	LINC00354	0.845684	0.741997	0.909858	10.978554
LINC00271	LINC00355	0.658037	0.464825	0.791427	6.054590
LINC00271	LINC00358	0.928439	0.876640	0.958964	17.315454
LINC00271	LINC00362	0.403913	0.141466	0.613311	3.059033
LINC00271	LINC00363	0.900038	0.829498	0.942315	14.308159
LINC00271	LINC00364	0.462705	0.211606	0.656503	3.616095
LINC00271	LINC00365	0.797602	0.667428	0.880476	9.161288
LINC00271	LINC00366	-0.178023	-0.434828	0.105561	-1.253398
LINC00271	LINC00368	0.561623	0.335759	0.726416	4.702767
LINC00271	LINC00370	0.376118	0.109197	0.592445	2.812322
LINC00271	LINC00374	0.831297	0.719411	0.901133	10.361806
LINC00271	LINC00375	0.707831	0.534860	0.823861	6.942411
LINC00271	LINC00376	0.871561	0.783218	0.925408	12.315950
LINC00271	LINC00377	0.644292	0.445909	0.782340	5.836701
LINC00271	LINC00379	0.757207	0.606736	0.855290	8.031661
LINC00271	LINC00380	0.686902	0.505131	0.810321	6.548333
LINC00271	LINC00381	0.117817	-0.165979	0.383590	0.821982
LINC00271	LINC00382	0.174765	-0.108884	0.432098	1.229732
LINC00271	LINC00383	0.465138	0.214565	0.658263	3.640340
LINC00271	LINC00384	0.076004	-0.206722	0.347016	0.528102
LINC00271	LINC00385	0.896816	0.824213	0.940413	14.044503
LINC00271	LINC00388	0.599143	0.384998	0.752070	5.184569
LINC00271	LINC00390	0.427364	0.169130	0.630691	3.275000
LINC00271	LINC00391	0.552036	0.323374	0.719786	4.586866
LINC00271	LINC00392	-0.236076	-0.482709	0.045250	-1.683157
LINC00271	LINC00393	-0.297951	-0.532168	-0.021371	-2.162486
LINC00271	LINC00397	0.014147	-0.265250	0.291352	0.098023
LINC00271	LINC00398	0.239743	-0.041370	0.485685	1.710887
LINC00271	LINC00399	0.132679	-0.151260	0.396392	0.927423
LINC00271	LINC00400	0.862500	0.768696	0.919984	11.808125
LINC00271	LINC00402	0.277977	-0.000407	0.516375	2.004897
LINC00271	LINC00404	0.716447	0.547225	0.829397	7.114960
LINC00271	LINC00408	0.870176	0.780993	0.924581	12.235166
LINC00271	LINC00411	0.741414	0.583477	0.845315	7.654704
LINC00271	LINC00412	0.890544	0.813960	0.936702	13.563198
LINC00271	LINC00421	0.695688	0.517559	0.816021	6.709688
LINC00271	LINC00423	0.785676	0.649328	0.873089	8.798878
LINC00271	LINC00424	0.720654	0.553289	0.832092	7.201609
LINC00271	LINC00426	-0.314928	-0.545465	-0.040090	-2.298862
LINC00271	LINC00430	0.377336	0.110601	0.593366	2.822947
LINC00271	LINC00431	0.360599	0.091423	0.580668	2.678514
LINC00271	LINC00433	0.093495	-0.189797	0.362416	0.650605
LINC00271	LINC00437	0.377575	0.110875	0.593546	2.825026
LINC00271	LINC00440	0.132884	-0.151056	0.396568	0.928884
LINC00271	LINC00442	0.941090	0.897964	0.966313	19.281277
LINC00271	LINC00443	0.336173	0.063790	0.561942	2.473006
LINC00271	LINC00445	0.712277	0.541231	0.826720	7.030643
LINC00271	LINC00446	-0.020230	-0.296911	0.259584	-0.140189
LINC00271	LINC00448	0.781751	0.643405	0.870648	8.685393
LINC00271	LINC00449	0.730055	0.566905	0.838096	7.401311
LINC00271	LINC00454	0.734044	0.572710	0.840636	7.488732
LINC00271	LINC00456	0.499192	0.256478	0.682685	3.991391
LINC00271	LINC00457	0.558199	0.331327	0.724051	4.661063
LINC00271	LINC00458	0.017871	-0.261783	0.294758	0.123836
LINC00271	LINC00459	0.126198	-0.157694	0.390822	0.881369
LINC00272	LINC00273	0.772282	0.629182	0.864743	8.422304
LINC00272	LINC00276	-0.236275	-0.482870	0.045040	-1.684658
LINC00272	LINC00278	0.124902	-0.158978	0.389706	0.872177
LINC00272	LINC00280	0.280166	0.001967	0.518113	2.022026
LINC00272	LINC00290	0.289576	0.012207	0.525566	2.096044
LINC00272	LINC00293	0.900345	0.830001	0.942495	14.333843
LINC00272	LINC00294	0.071830	-0.210736	0.343318	0.498943
LINC00272	LINC00297	0.415830	0.155473	0.622168	3.167822
LINC00272	LINC00298	-0.138278	-0.401189	0.145682	-0.967310
LINC00272	LINC00299	-0.186954	-0.442290	0.096416	-1.318503
LINC00272	LINC00301	-0.127294	-0.391765	0.156608	-0.889150
LINC00272	LINC00303	0.591373	0.374700	0.746796	5.080809
LINC00272	LINC00304	0.470442	0.221033	0.662094	3.693565
LINC00272	LINC00305	0.895090	0.821386	0.939392	13.907985
LINC00272	LINC00308	-0.268436	-0.508773	0.010717	-1.930640
LINC00272	LINC00309	0.841861	0.735972	0.907545	10.807209
LINC00272	LINC00310	0.868280	0.777948	0.923446	12.126432
LINC00272	LINC00311	0.456996	0.204680	0.652364	3.559612
LINC00272	LINC00313	0.448252	0.194120	0.646001	3.474162
LINC00272	LINC00314	0.899009	0.827808	0.941707	14.222591
LINC00272	LINC00315	0.773644	0.631223	0.865594	8.459264
LINC00272	LINC00319	0.954395	0.920611	0.973997	22.148155
