##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
56	91	0.285385	-0.123702	0.611559	1.428045	25	0.213201	0.008463	-0.387972	0.402255	0.040589	25	0.213201	0.945474	0.344417
56	92	0.401538	0.007608	0.687582	2.102667	25	0.213201	-0.294615	-0.617829	0.113766	-1.478550	25	0.213201	2.418133	0.015600
56	93	0.302308	-0.105423	0.623023	1.520983	25	0.213201	0.082308	-0.323346	0.462406	0.396078	25	0.213201	0.761375	0.446433
56	94	0.862308	0.708618	0.937881	8.166680	25	0.213201	0.207692	-0.204203	0.557109	1.018261	25	0.213201	3.620151	0.000294
56	95	0.636923	0.323101	0.824545	3.962210	25	0.213201	0.101943	-0.305501	0.477832	0.491460	25	0.213201	2.158066	0.030923
56	96	0.684615	0.396826	0.849853	4.504431	25	0.213201	0.334615	-0.069743	0.644533	1.702924	25	0.213201	1.624261	0.104320
56	97	0.590498	0.254817	0.799167	3.509037	25	0.213201	0.414615	0.023294	0.695765	2.185091	25	0.213201	0.786898	0.431342
56	98	0.106923	-0.300928	0.481709	0.515742	25	0.213201	-0.064615	-0.448307	0.339182	-0.310533	25	0.213201	0.570588	0.568279
56	99	0.783846	0.563123	0.900175	6.053890	25	0.213201	0.495385	0.124646	0.744742	2.734952	25	0.213201	1.698434	0.089426
57	58	0.805385	0.601745	0.910702	6.516191	25	0.213201	0.370527	-0.028831	0.667881	1.913162	25	0.213201	2.403617	0.016234
57	59	0.747692	0.500391	0.882193	5.399942	25	0.213201	0.328588	-0.076479	0.640557	1.668499	25	0.213201	2.077721	0.037735
57	60	0.651538	0.345297	0.832382	4.118909	25	0.213201	0.679492	0.388725	0.847170	4.441607	25	0.213201	-0.166503	0.867761
57	61	0.374615	-0.024088	0.670502	1.937695	25	0.213201	0.243940	-0.167326	0.582892	1.206338	25	0.213201	0.480320	0.631000
57	62	0.107692	-0.300220	0.482306	0.519495	25	0.213201	-0.009236	-0.402903	0.387315	-0.044297	25	0.213201	0.389199	0.697129
57	63	0.679231	0.388312	0.847033	4.438434	25	0.213201	0.129281	-0.280169	0.498931	0.625255	25	0.213201	2.313931	0.020672
57	64	0.758462	0.518810	0.887591	5.581332	25	0.213201	0.146595	-0.263825	0.512070	0.710722	25	0.213201	2.802296	0.005074
57	65	0.716154	0.447709	0.866180	4.920969	25	0.213201	0.294344	-0.114059	0.617645	1.477059	25	0.213201	1.977997	0.047929
57	66	0.745385	0.496473	0.881032	5.362367	25	0.213201	0.210850	-0.201036	0.559383	1.034459	25	0.213201	2.482252	0.013056
57	67	0.726923	0.465491	0.871683	5.076605	25	0.213201	0.649865	0.342739	0.831488	4.100583	25	0.213201	0.487895	0.625625
57	68	0.436154	0.049557	0.709087	2.324464	25	0.213201	0.064255	-0.339502	0.448018	0.308797	25	0.213201	1.337022	0.181216
57	69	0.131538	-0.278051	0.500654	0.636366	25	0.213201	-0.350519	-0.654945	0.051791	-1.794909	25	0.213201	1.652810	0.098370
57	70	0.376154	-0.022298	0.671487	1.946961	25	0.213201	0.348596	-0.053977	0.653691	1.783691	25	0.213201	0.105229	0.916194
57	71	0.445385	0.060979	0.714737	2.385676	25	0.213201	0.273182	-0.136713	0.603207	1.361940	25	0.213201	0.658777	0.510039
57	72	0.809231	0.608744	0.912568	6.605947	25	0.213201	0.467872	0.089231	0.728356	2.538862	25	0.213201	2.047861	0.040574
57	73	0.542797	0.187976	0.772293	3.099503	25	0.213201	0.719069	0.452501	0.867673	4.962353	25	0.213201	-0.987034	0.323626
57	74	0.772072	0.542409	0.894362	5.826149	25	0.213201	0.015775	-0.381742	0.408367	0.075665	25	0.213201	3.348663	0.000812
57	75	0.666025	0.367641	0.840078	4.282104	25	0.213201	-0.021547	-0.413166	0.376799	-0.103359	25	0.213201	2.736599	0.006208
57	76	0.780000	0.556326	0.898281	5.977742	25	0.213201	0.921493	0.827755	0.965189	11.378447	25	0.213201	-1.835638	0.066411
57	77	0.630769	0.313858	0.821224	3.898426	25	0.213201	0.123509	-0.285565	0.494513	0.596899	25	0.213201	2.051497	0.040219
57	78	0.678462	0.387100	0.846630	4.429116	25	0.213201	0.118507	-0.290220	0.490668	0.572374	25	0.213201	2.345488	0.019002
57	79	0.821538	0.631350	0.918509	6.910354	25	0.213201	0.467103	0.088255	0.727893	2.533520	25	0.213201	2.172965	0.029783
57	80	0.740000	0.487371	0.878316	5.276359	25	0.213201	0.532513	0.173984	0.766390	3.017219	25	0.213201	1.183483	0.236618
57	81	0.546923	0.193631	0.774651	3.133068	25	0.213201	0.108503	-0.299474	0.482935	0.523454	25	0.213201	1.675056	0.093923
57	82	0.630769	0.313858	0.821224	3.898426	25	0.213201	0.650250	0.343326	0.831694	4.104788	25	0.213201	-0.109579	0.912743
57	83	-0.056154	-0.441495	0.346676	-0.269730	25	0.213201	-0.691805	-0.853603	-0.408271	-4.594721	25	0.213201	2.637365	0.008355
57	84	0.534615	0.176833	0.767600	3.033889	25	0.213201	-0.255483	-0.590962	0.155336	-1.267310	25	0.213201	2.845184	0.004439
57	85	0.568186	0.223148	0.786700	3.311368	25	0.213201	-0.047912	-0.434818	0.353926	-0.230043	25	0.213201	2.297722	0.021578
57	86	0.477692	0.101763	0.734239	2.607696	25	0.213201	0.575221	0.233055	0.790651	3.372460	25	0.213201	-0.448744	0.653616
57	87	0.586923	0.249693	0.797182	3.476576	25	0.213201	0.466333	0.087278	0.727430	2.528185	25	0.213201	0.555816	0.578336
57	88	0.419696	0.029441	0.698925	2.217550	25	0.213201	0.317106	-0.089209	0.632936	1.603546	25	0.213201	0.394336	0.693333
57	89	0.799231	0.590612	0.907708	6.377407	25	0.213201	0.327049	-0.078193	0.639539	1.659745	25	0.213201	2.510549	0.012054
57	90	0.748462	0.501699	0.882580	5.412566	25	0.213201	-0.034244	-0.423649	0.365844	-0.164325	25	0.213201	3.328913	0.000872
57	91	0.666154	0.367840	0.840146	4.283588	25	0.213201	0.528574	0.168664	0.764118	2.986207	25	0.213201	0.715171	0.474504
57	92	0.636923	0.323101	0.824545	3.962210	25	0.213201	0.549442	0.197095	0.776087	3.153718	25	0.213201	0.449063	0.653386
57	93	0.694615	0.412771	0.855065	4.630727	25	0.213201	0.807618	0.605806	0.911786	6.568027	25	0.213201	-0.873343	0.382476
57	94	0.761538	0.524113	0.889127	5.635086	25	0.213201	0.083878	-0.321929	0.463649	0.403689	25	0.213201	3.037337	0.002387
57	95	0.680769	0.390740	0.847840	4.457151	25	0.213201	0.195497	-0.216353	0.548281	0.956020	25	0.213201	2.097764	0.035926
57	96	0.746923	0.499084	0.881806	5.387368	25	0.213201	0.243940	-0.167326	0.582892	1.206338	25	0.213201	2.378019	0.017406
