Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
LINC00269	LINC00358	0.556154	0.206367	0.779902	3.209345	25	0.213201	0.347692	-0.055002	0.653102	1.778433	25	0.213201	0.877018	0.380477
LINC00269	LINC00362	0.706923	0.432634	0.861434	4.793341	25	0.213201	0.177692	-0.233865	0.535248	0.865963	25	0.213201	2.326305	0.020002
LINC00269	LINC00363	0.921538	0.827850	0.965210	11.382154	25	0.213201	0.730000	0.470610	0.873249	5.122499	25	0.213201	2.223496	0.026182
LINC00269	LINC00364	0.535385	0.177877	0.768042	3.040006	25	0.213201	0.544615	0.190466	0.773333	3.114257	25	0.213201	-0.043218	0.965528
LINC00269	LINC00365	0.726923	0.465491	0.871683	5.076605	25	0.213201	0.244615	-0.166628	0.583367	1.209890	25	0.213201	2.230410	0.025720
LINC00269	LINC00366	0.325063	-0.080402	0.638224	1.648469	25	0.213201	0.339231	-0.064560	0.647567	1.729444	25	0.213201	-0.052819	0.957876
LINC00269	LINC00368	0.738462	0.484780	0.877539	5.252203	25	0.213201	0.770000	0.538794	0.893335	5.787674	25	0.213201	-0.242911	0.808074
LINC00269	LINC00370	0.780000	0.556326	0.898281	5.977742	25	0.213201	0.185385	-0.226332	0.540900	0.904756	25	0.213201	2.845058	0.004440
LINC00269	LINC00374	0.526923	0.166440	0.763164	2.973286	25	0.213201	0.259231	-0.151417	0.593568	1.287231	25	0.213201	1.063285	0.287653
LINC00269	LINC00375	0.782308	0.560401	0.899418	6.023219	25	0.213201	0.074615	-0.330259	0.456300	0.358843	25	0.213201	3.238805	0.001200
LINC00269	LINC00376	0.893846	0.771031	0.952550	9.560630	25	0.213201	0.495191	0.124393	0.744628	2.733532	25	0.213201	2.977745	0.002904
LINC00269	LINC00377	0.794615	0.582314	0.905456	6.276987	25	0.213201	0.256154	-0.154635	0.591429	1.270872	25	0.213201	2.725745	0.006416
LINC00269	LINC00379	0.743846	0.493867	0.880257	5.337557	25	0.213201	0.246923	-0.164239	0.584984	1.222042	25	0.213201	2.344528	0.019051
LINC00269	LINC00380	0.617692	0.294413	0.814124	3.766879	25	0.213201	0.306923	-0.100389	0.626126	1.546599	25	0.213201	1.340315	0.180143
LINC00269	LINC00381	0.338462	-0.065426	0.647062	1.725014	25	0.213201	-0.090000	-0.468477	0.316389	-0.433384	25	0.213201	1.467932	0.142123
LINC00269	LINC00382	0.138462	-0.271532	0.505919	0.670497	25	0.213201	0.402000	0.008159	0.687872	2.105552	25	0.213201	-0.950797	0.341708
LINC00269	LINC00383	0.690769	0.406618	0.853064	4.581561	25	0.213201	0.304615	-0.102909	0.624576	1.533776	25	0.213201	1.773818	0.076093
LINC00269	LINC00384	0.792308	0.578182	0.904327	6.227895	25	0.213201	0.150769	-0.259849	0.515213	0.731425	25	0.213201	3.070111	0.002140
LINC00269	LINC00385	0.727692	0.466769	0.872075	5.088017	25	0.213201	0.514615	0.149974	0.756021	2.878409	25	0.213201	1.176795	0.239277
LINC00269	LINC00388	0.767692	0.534776	0.892189	5.745344	25	0.213201	0.680769	0.390740	0.847840	4.457151	25	0.213201	0.610715	0.541388
LINC00269	LINC00390	0.643846	0.333572	0.828266	4.035493	25	0.213201	0.486154	0.112658	0.739278	2.668021	25	0.213201	0.775109	0.438275
LINC00269	LINC00391	0.340769	-0.062828	0.648575	1.738315	25	0.213201	-0.064615	-0.448307	0.339182	-0.310533	25	0.213201	1.391881	0.163958
LINC00269	LINC00392	0.329231	-0.075763	0.640982	1.672159	25	0.213201	-0.200000	-0.551550	0.211882	-0.978945	25	0.213201	1.806558	0.070831
LINC00269	LINC00393	0.346923	-0.055874	0.652601	1.773959	25	0.213201	0.356923	-0.044489	0.659105	1.832439	25	0.213201	-0.037855	0.969803
LINC00269	LINC00397	0.273846	-0.136008	0.603663	1.365519	25	0.213201	-0.084615	-0.464231	0.321263	-0.407262	25	0.213201	1.213338	0.225000
LINC00269	LINC00398	0.853077	0.690794	0.933536	7.840801	25	0.213201	0.504615	0.136744	0.750174	2.803112	25	0.213201	2.360999	0.018226
LINC00269	LINC00399	0.497019	0.126780	0.745706	2.746927	25	0.213201	0.299673	-0.108287	0.621247	1.506413	25	0.213201	0.783316	0.433442
LINC00269	LINC00400	0.852856	0.690371	0.933432	7.833362	25	0.213201	0.382308	-0.015113	0.675414	1.984214	25	0.213201	2.864826	0.004172
LINC00269	LINC00402	0.739900	0.487202	0.878266	5.274784	25	0.213201	0.551538	0.199984	0.777280	3.170997	25	0.213201	1.093387	0.274224
LINC00269	LINC00404	0.733077	0.475747	0.874811	5.169059	25	0.213201	0.535872	0.178539	0.768323	3.043890	25	0.213201	1.117701	0.263695
LINC00269	LINC00408	0.763846	0.528103	0.890277	5.675994	25	0.213201	0.758462	0.518810	0.887591	5.581332	25	0.213201	0.042457	0.966134
LINC00269	LINC00411	0.811538	0.612958	0.913685	6.660976	25	0.213201	0.553077	0.202109	0.778155	3.183733	25	0.213201	1.687218	0.091561
LINC00269	LINC00412	0.861538	0.707125	0.937520	8.138382	25	0.213201	0.533846	0.175790	0.767157	3.027781	25	0.213201	2.334155	0.019588
LINC00269	LINC00421	0.663846	0.364257	0.838925	4.257020	25	0.213201	0.330769	-0.074046	0.641998	1.680930	25	0.213201	1.512272	0.130465
LINC00269	LINC00423	0.488462	0.115645	0.740647	2.684642	25	0.213201	0.165385	-0.245817	0.526139	0.804232	25	0.213201	1.217599	0.223376
LINC00269	LINC00424	0.489231	0.116642	0.741103	2.690199	25	0.213201	0.060769	-0.342595	0.445216	0.291979	25	0.213201	1.572758	0.115775
LINC00269	LINC00426	0.042308	-0.358828	0.430252	0.203082	25	0.213201	-0.209231	-0.558218	0.202662	-1.026148	25	0.213201	0.844743	0.398254
LINC00269	LINC00430	0.606923	0.278599	0.808232	3.662362	25	0.213201	-0.035385	-0.424586	0.364854	-0.169805	25	0.213201	2.452428	0.014190
LINC00269	LINC00431	0.601269	0.270367	0.805123	3.608786	25	0.213201	0.215811	-0.196044	0.562943	1.059970	25	0.213201	1.578299	0.114497
LINC00269	LINC00433	0.445385	0.060979	0.714737	2.385676	25	0.213201	0.520769	0.158182	0.759600	2.925535	25	0.213201	-0.326577	0.743988
LINC00269	LINC00437	0.577692	0.236552	0.792034	3.394180	25	0.213201	0.650769	0.344120	0.831971	4.110470	25	0.213201	-0.390167	0.696413
LINC00269	LINC00440	0.371610	-0.027577	0.668576	1.919647	25	0.213201	0.348913	-0.053616	0.653898	1.785542	25	0.213201	0.086510	0.931061
LINC00269	LINC00442	0.786923	0.568582	0.901687	6.116107	25	0.213201	0.650000	0.342944	0.831560	4.102053	25	0.213201	0.955188	0.339483
LINC00269	LINC00443	0.828462	0.644210	0.921832	7.094350	25	0.213201	0.668462	0.371432	0.841366	4.310378	25	0.213201	1.244579	0.213287
LINC00269	LINC00445	0.633077	0.317317	0.822471	3.922198	25	0.213201	0.687055	0.400701	0.851128	4.534789	25	0.213201	-0.317806	0.750632
LINC00269	LINC00446	0.647692	0.339422	0.830326	4.076933	25	0.213201	0.493846	0.122640	0.743834	2.723713	25	0.213201	0.763416	0.445215
LINC00269	LINC00448	0.694615	0.412771	0.855065	4.630727	25	0.213201	0.596923	0.264071	0.802725	3.568176	25	0.213201	0.558739	0.576340
LINC00269	LINC00449	0.827692	0.642776	0.921463	7.073413	25	0.213201	0.187692	-0.224063	0.542589	0.916428	25	0.213201	3.286177	0.001016
