##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_pearson	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_pearson	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
0	53	0.333453	-0.071045	0.643768	1.696268	25	0.213201	0.793226	0.579825	0.904776	6.247337	25	0.213201	-2.432291	0.015004
0	54	0.358909	-0.042215	0.660391	1.844137	25	0.213201	0.423720	0.034331	0.701420	2.243438	25	0.213201	-0.254003	0.799493
0	55	-0.082502	-0.462560	0.323171	-0.397018	25	0.213201	-0.097472	-0.474341	0.309589	-0.469698	25	0.213201	0.050059	0.960076
0	56	-0.581933	-0.794403	-0.242574	-3.431787	25	0.213201	-0.643968	-0.828331	-0.333757	-4.036795	25	0.213201	0.330144	0.741291
0	57	0.230397	-0.181240	0.573339	1.135495	25	0.213201	0.547055	0.193813	0.774726	3.134149	25	0.213201	-1.258859	0.208081
0	58	0.317044	-0.089278	0.632895	1.603197	25	0.213201	0.360466	-0.040431	0.661398	1.853326	25	0.213201	-0.162726	0.870734
0	59	-0.472508	-0.731138	-0.095132	-2.571202	25	0.213201	-0.058770	-0.443606	0.344364	-0.282341	25	0.213201	-1.507260	0.131744
0	60	0.210297	-0.201592	0.558985	1.031618	25	0.213201	0.391731	-0.004030	0.681397	2.041865	25	0.213201	-0.664525	0.506354
0	61	0.092440	-0.314173	0.470396	0.445234	25	0.213201	-0.043322	-0.431080	0.357942	-0.207962	25	0.213201	0.451241	0.651816
0	62	0.134975	-0.274819	0.503271	0.653298	25	0.213201	0.803506	0.598339	0.909790	6.473218	25	0.213201	-3.225832	0.001256
0	63	-0.467501	-0.728133	-0.088761	-2.536287	25	0.213201	0.532413	0.173850	0.766332	3.016433	25	0.213201	-3.649532	0.000263
0	64	0.443307	0.058399	0.713468	2.371816	25	0.213201	0.251702	-0.159277	0.588326	1.247274	25	0.213201	0.726706	0.467406
