symbol	GSM1855317	GSM1855318	GSM1855319	GSM1855320	GSM1855321	GSM1855322	GSM2195410	GSM2195411	GSM2195412	GSM2195413	GSM2195414	GSM2195415	GSM2226784	GSM2226785	GSM2226786	GSM2226787	GSM2226788	GSM2226789	GSM2226790	GSM2226791	GSM2226792	GSM2226793	GSM2477389	GSM2477390	GSM2477391	GSM2477392	GSM2477393	GSM2477394	GSM2700243	GSM2700244	GSM2700245	GSM2700240	GSM2700241	GSM2700242	GSM2774691	GSM2774692	GSM2774693	GSM2774694	GSM2774695	GSM2774696	GSM3685851	GSM3685852	GSM3685853	GSM3685848	GSM3685849	GSM3685850	GSM3936838	GSM3936839	GSM3936840	GSM3936841
hsa-miR-1180	7.16983956	7.167332556	7.00646416	7.364789568	7.16314451	6.951185292	5.745150737	5.764514506	5.745752732	5.772038294	5.736256107	5.736707863	5.706815726	5.744153887	5.731056822	5.752007249	5.726584116	5.737777269	5.720508815	5.787818393	5.757513965	5.869196867	6.159012884	6.042560827	6.062052807	6.16403457	6.039777183	6.046170941	6.769734192	6.174076815	6.544843297	5.922137818	5.873023991	6.009239183	5.878633858	5.898994402	5.808886169	5.804856473	5.831982057	6.040621677	6.856232651	7.031540333	6.838578087	7.11887301	6.761546656	6.919946181	5.710668269	5.720893678	5.720893678	5.721502292
hsa-miR-1181	6.82593822	6.732120336	6.904270471	6.908701735	6.690075947	6.878952809	6.143423511	5.967908025	5.987204609	6.07708076	5.840844171	5.89077067	5.697474082	5.764887976	5.700006715	5.770189052	5.72705211	5.74303249	5.735703021	5.740345717	5.72644272	5.733825446	6.079520384	5.829626379	5.853610341	5.846136794	5.89384761	5.869789234	8.56787855	8.507528579	8.555852503	9.017337553	8.853402776	8.875307795	10.47774393	10.28840317	10.35084451	10.20200393	9.946986051	10.12075171	8.71731057	8.541566125	8.865110386	8.550273832	8.645548638	8.567996328	5.994083752	5.902651083	6.072495911	6.257572108
hsa-miR-1182	6.154546439	6.11565018	6.017393158	5.829245855	5.929284998	6.07841957	5.81110882	5.775138542	5.823358643	6.064098287	5.733164867	5.733164867	5.789078979	5.715774091	5.81527431	5.739261161	5.695151048	5.704603641	5.727687021	5.720061321	5.764887976	5.740345717	6.281873952	6.148532585	6.145360146	6.030999843	6.157954137	6.024695935	12.28261563	13.05338016	12.78319276	13.38472649	13.51933326	13.42247443	5.975578129	5.835091301	5.803439351	5.823050074	5.842070115	5.802167886	12.52413178	12.60499546	12.5304452	12.61409465	12.62248872	12.56703336	6.066275017	5.967274317	5.942764058	6.057097849
hsa-miR-1183	7.413001221	7.414261765	7.490661102	7.524744341	7.594749399	7.376535558	5.877300023	6.003108999	5.936612019	5.839433738	6.028111006	6.1358728	5.782989773	5.757510003	5.757510003	5.793502676	5.809178181	5.759815538	5.785343603	5.757510003	5.772825045	5.782235942	5.718056494	5.725437998	5.724764065	5.71155958	5.720753766	5.713084736	8.139724398	8.159621585	8.096014903	8.053657097	8.097551948	8.194923404	5.946806427	6.050557813	6.01347003	5.9480824	6.100335174	5.890104382	8.310200966	8.358252874	8.649230005	8.250658689	8.389062177	8.229184365	7.115084865	6.787954265	8.552684313	7.311784277
hsa-miR-1184	5.967457401	5.976957372	5.934082168	5.881424175	5.938947477	6.036498114	5.917788343	5.977926595	5.986738502	5.873032961	5.968286013	5.928850802	5.72644272	5.708538211	5.799832797	5.770189052	5.715948276	5.732522048	5.785343603	5.707015558	5.733825446	5.722281133	5.741231662	5.75134618	5.775561623	5.781377418	5.777175006	5.785457167	12.52575337	10.55454136	10.50956108	11.2263322	10.75825139	12.78542532	5.876431228	5.820544725	5.820305898	5.809849014	5.84201856	5.843473961	13.42618735	13.39407089	12.14428415	13.45692026	13.0651484	13.75845671	6.61302258	6.657622442	6.587629577	6.387068625
hsa-miR-1185	6.524794387	6.486489931	6.232758016	6.181730718	6.162263986	5.942543577	5.849884953	5.881224824	6.083015813	5.818422124	6.125666079	5.951593302	5.741755902	5.716253444	5.742021238	5.713707537	5.778517274	5.737777269	5.713647779	5.720312736	5.723706028	5.773561959	5.995502599	5.87194759	5.795201767	5.800717684	5.835620218	5.861090411	5.90654263	6.164096203	6.101298602	6.165764306	6.290646952	6.226294038	11.9093212	12.12718023	12.29118748	11.51443461	12.52769487	12.42440032	8.36081512	7.254172894	6.857782623	7.596756655	7.311303861	7.954153938	8.931118538	8.645222353	10.66066801	9.643863332
hsa-miR-1197	8.353686795	8.399259592	8.290096943	8.285054035	8.23867949	8.291699492	6.83864669	6.748717863	6.704444951	6.515002672	6.387255914	6.618959934	5.688792717	5.707015558	5.740345717	5.745378411	5.72705211	5.786689515	5.725243538	5.748724132	5.740345717	5.690228664	5.818020971	5.76272302	5.715871264	5.7391782	5.720041002	5.706218825	11.30814493	11.67725738	11.49249607	11.88262413	11.70139332	11.70002082	6.146899133	7.039885819	5.995209307	6.066934638	6.086802218	6.439029956	12.00663034	12.32725819	12.33387541	12.48557594	12.29375692	12.07773126	5.973247063	6.246325333	6.031835527	6.094168592
hsa-miR-1200	8.04616801	7.82331292	7.824639343	7.66171734	8.064247712	7.895271143	6.276872136	5.962870882	6.058909338	6.327135964	6.07603456	5.885928139	5.772404082	5.829029225	5.745378411	5.785788774	5.772825045	5.755350443	5.754108942	5.757510003	5.772825045	5.782235942	5.775316156	5.849090404	5.844765833	5.908929916	5.810458103	5.801612346	6.780163443	7.220302479	6.826978394	7.174847406	7.237931663	7.07093124	9.169653539	9.246977968	8.480689084	8.603224367	10.13839976	9.203898451	7.667651251	7.588035344	7.867748541	7.526116162	7.612200487	7.473646632	6.137218963	5.954327353	5.806295335	5.954327353
hsa-miR-1201_v15.0	6.288267349	6.259532831	6.234124704	6.301286264	6.273893603	6.604306989	7.849389217	9.056743719	7.965048097	7.484802444	8.032261371	7.905120973	5.713175148	5.797789041	5.878430574	5.730393946	5.715827716	5.776613215	5.74132033	5.717052601	5.734886211	5.768268245	5.745758758	5.72346418	5.723576324	5.760256368	5.736743501	5.713401818	12.65660001	12.46922644	12.5616043	11.15357345	11.1424212	11.02152402	5.784521424	5.775666392	5.813369478	5.808888761	6.001670345	5.803169206	10.95764093	11.07170886	10.93779755	10.80341895	10.74846631	10.49226319	7.083521454	6.893349593	7.285438843	6.724567883
hsa-miR-1202	5.954457921	5.929035494	5.951270765	6.03362829	5.99442016	6.310587039	5.72127912	5.747294426	5.743725447	5.745247426	5.749690099	5.745760118	5.859672251	5.819200621	5.786328921	5.714780946	5.730438778	5.733817619	5.782366123	5.728059904	5.750558847	5.72805329	5.743324038	5.759767277	5.727635367	5.732609358	5.737990692	5.768386279	11.1855675	10.94125587	11.05654774	10.58538557	10.39320326	10.35277047	7.630056087	8.150055723	7.689007221	7.492513365	7.87572559	7.985557832	9.939446079	10.26032295	10.62063319	9.953458364	9.912254725	9.833800981	7.719843705	8.898613359	9.391117813	9.018558958
hsa-miR-1203	6.77137695	6.830671195	6.717560014	6.798631323	6.352676044	6.352676044	5.90350458	6.010587092	6.400124758	5.991840901	6.531991593	6.374271458	5.73585291	5.770189052	5.772825045	5.753850893	5.772825045	5.780285585	5.770189052	5.749470284	5.772825045	5.78010987	5.982055605	5.789685737	5.971489594	5.888956811	5.789174213	5.765174627	7.580827568	7.206530836	7.162731964	6.555107925	6.872834834	6.552548607	11.29611727	11.33578918	12.09613819	11.78320101	11.20437786	11.32506177	9.348158744	9.420120339	9.425200619	9.350738964	9.191658176	9.50016345	5.80337171	5.757073757	5.76826358	5.765011259
hsa-miR-1204	6.470330281	6.548935944	6.387205375	5.947026563	6.208104964	6.285733955	5.741381821	5.724569424	5.742235778	5.86435857	5.745752732	5.760295822	5.981144919	5.829029225	5.832344664	5.687937549	5.721926843	5.755350443	5.759815538	5.798657601	5.772825045	5.789078979	5.821334234	5.811703046	5.802451292	5.868335307	5.7919512	5.812769768	6.267428611	6.443504331	6.229498721	6.534505113	6.674081512	6.537096613	7.46966071	7.389988935	7.504526971	7.157427665	7.310275362	7.396467459	6.3084161	6.600151685	6.426089391	6.426089391	6.424721349	6.426089391	6.213103875	6.016201455	6.222563751	6.002202268
hsa-miR-1205	7.31104271	7.445315572	7.344042487	7.040480538	7.130340779	7.384263083	5.76164455	5.72330064	5.727155805	5.742542005	5.740694956	5.761888101	6.051159138	6.023002274	5.832512445	5.789645725	5.756831175	5.894052815	5.783331405	5.831819036	5.8773543	5.882051013	5.734787695	5.735754591	5.749001324	5.815771928	5.782210898	5.812660467	6.987174862	7.043852935	7.110618957	6.224688822	6.569103593	6.379964563	7.57690166	9.114110939	8.63138915	6.924345858	8.184751205	7.651705241	6.799430909	6.705871668	6.991504708	6.884878388	6.785492445	6.798373596	5.952426172	5.89478323	5.864948611	5.905430777
