Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
0	43	48.000000	5.000000	0.678758	4.815371	14.428464	4.378786e-18	-0.008130	-0.157996	0.875200	0.000481	0.017109	0.986429	-0.674299	-1.197459	0.237687	4.344533	1.592875	0.118514
0	44	48.000000	5.000000	0.722748	2.557482	7.160537	7.540189e-09	-0.014843	-0.269527	0.788814	-0.039425	-1.309988	0.197155	-0.301778	-0.500770	0.619087	-1.147933	-0.393276	0.696059
0	45	48.000000	5.000000	1.371227	8.531364	34.200859	8.110547e-33	-0.007667	-0.199338	0.842938	0.007851	0.373533	0.710587	-0.600557	-1.426890	0.160833	-1.238500	-0.607523	0.546699
0	46	48.000000	5.000000	0.300219	2.700261	9.922441	1.092796e-12	0.015737	0.375043	0.709472	-0.011544	-0.503419	0.617239	0.225262	0.490589	0.626212	-1.990486	-0.894994	0.375773
0	47	48.000000	5.000000	0.752596	2.373570	7.689882	1.309074e-09	-0.030913	-0.649546	0.519440	0.008867	0.340918	0.734826	-0.835671	-1.604614	0.115899	2.257819	0.895066	0.375735
0	48	48.000000	5.000000	4.176018	6.048892	13.821982	2.014481e-17	-0.132723	-1.966918	0.055667	0.033903	0.919369	0.363031	-2.145916	-2.906194	0.005761	-0.182104	-0.050917	0.959627
0	49	48.000000	5.000000	0.455284	7.011576	9.247920	8.766139e-12	-0.055103	-0.471353	0.639771	-0.032962	-0.515936	0.608542	0.097276	0.076042	0.939738	5.343624	0.862407	0.393248
0	50	48.000000	5.000000	1.278265	3.076823	13.877831	1.747212e-17	0.021951	0.642113	0.524209	0.017398	0.931278	0.356909	0.789198	2.109710	0.040742	-2.598762	-1.434279	0.158726
0	51	48.000000	5.000000	1.607966	4.803501	8.648945	5.828024e-11	0.046179	0.539255	0.592492	-0.071809	-1.534413	0.132254	0.787479	0.840353	0.405359	-8.257565	-1.819304	0.075832
0	52	48.000000	5.000000	0.668377	2.703113	12.884953	2.320981e-16	0.006422	0.198536	0.843562	0.026289	1.487142	0.144274	0.249493	0.704847	0.484706	-0.486417	-0.283711	0.777994
0	53	48.000000	5.000000	0.960600	4.849952	16.207783	6.309439e-20	-0.026052	-0.564633	0.575257	0.014330	0.568323	0.572772	-0.727610	-1.441126	0.156792	-0.057292	-0.023428	0.981417
0	54	48.000000	5.000000	0.893372	7.443956	29.205713	5.471413e-30	0.005652	0.143825	0.886311	-0.031630	-1.472749	0.148101	0.336663	0.782846	0.438008	0.050009	0.024008	0.980957
0	55	48.000000	5.000000	0.153345	4.268512	12.716765	3.640425e-16	0.022572	0.436121	0.664931	-0.011335	-0.400759	0.690582	0.152493	0.269258	0.789019	0.673408	0.245486	0.807248
0	56	48.000000	5.000000	0.383984	4.763907	16.863289	1.438904e-20	0.002771	0.063611	0.949574	-0.020574	-0.864285	0.392227	-0.458312	-0.961518	0.341668	0.829386	0.359239	0.721174
0	57	48.000000	5.000000	1.118998	6.635501	32.543919	6.348865e-32	-0.022178	-0.705448	0.484336	0.029702	1.728772	0.091025	0.235290	0.683939	0.497683	-2.129633	-1.278053	0.208087
0	58	48.000000	5.000000	1.078862	6.971954	25.383343	1.647411e-27	-0.041803	-0.987067	0.329132	0.023290	1.006302	0.319900	-0.547655	-1.181731	0.243807	-0.436992	-0.194677	0.846562
0	59	48.000000	5.000000	0.766985	3.169885	10.767865	8.715999e-14	0.051722	1.139486	0.260809	0.020858	0.840857	0.405080	-0.104934	-0.211262	0.833681	-0.886156	-0.368336	0.714430
0	60	48.000000	5.000000	3.187529	3.215061	12.971256	1.844825e-16	-0.088139	-2.306244	0.025981	0.044138	2.113323	0.040415	-0.230362	-0.550835	0.584597	4.021562	1.985344	0.053508
0	61	48.000000	5.000000	0.572243	3.764386	6.334118	1.193498e-07	0.120355	1.313414	0.196009	0.007084	0.141452	0.888174	-0.188424	-0.187908	0.851832	-1.450503	-0.298647	0.766648
0	62	48.000000	5.000000	0.593025	4.429973	11.579872	8.380176e-15	-0.016492	-0.279596	0.781128	0.019775	0.613435	0.542820	-0.658440	-1.020085	0.313393	3.947663	1.262673	0.213511
0	63	48.000000	5.000000	3.229105	5.536905	21.839216	6.713247e-25	0.032480	0.830873	0.410635	0.025751	1.205393	0.234643	0.701938	1.640916	0.108111	-7.033909	-3.394805	0.001487
0	64	48.000000	5.000000	0.385352	5.216943	9.317471	7.054288e-12	-0.069191	-0.801453	0.427276	-0.004728	-0.100209	0.920644	0.190282	0.201418	0.841322	2.708742	0.591967	0.556972
0	65	48.000000	5.000000	0.424485	6.366466	14.579631	3.013165e-18	0.034075	0.506098	0.615373	-0.027482	-0.746896	0.459191	-0.627910	-0.852242	0.398802	3.405270	0.954218	0.345307
0	66	48.000000	5.000000	0.757926	4.596243	16.178026	6.754291e-20	-0.012034	-0.274702	0.784861	0.002531	0.105721	0.916295	-0.255033	-0.532031	0.597443	3.802860	1.637876	0.108746
0	67	48.000000	5.000000	1.599345	3.519882	13.954762	1.436987e-17	0.018318	0.470990	0.640029	-0.033206	-1.562321	0.125543	-0.079427	-0.186630	0.852828	3.618902	1.755574	0.086283
0	68	48.000000	5.000000	2.366777	4.765872	11.576481	8.461039e-15	0.039151	0.616763	0.540643	-0.074957	-2.160758	0.036329	-0.455765	-0.656134	0.515234	7.327914	2.178024	0.034935
0	69	48.000000	5.000000	0.360608	4.613091	19.473568	5.962216e-23	0.023896	0.654230	0.516448	-0.011342	-0.568194	0.572859	0.302024	0.755635	0.453988	-0.093045	-0.048061	0.961890
