Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
hsa-miR-1	ABCC13	48	5	0.572243	3.764386	6.334118	1.193498e-07	0.120355	1.313414	0.196009	0.007084	0.141452	0.888174	-0.188424	-0.187908	0.851832	-1.450503	-0.298647	0.766648
hsa-miR-1	ABCC2	48	5	0.593025	4.429973	11.579872	8.380176e-15	-0.016492	-0.279596	0.781128	0.019775	0.613435	0.54282	-0.65844	-1.020085	0.313393	3.947663	1.262673	0.213511
hsa-miR-1	ABCC3	48	5	3.229105	5.536905	21.839216	6.713247e-25	0.03248	0.830873	0.410635	0.025751	1.205393	0.234643	0.701938	1.640916	0.108111	-7.033909	-3.394805	0.001487
hsa-miR-1	ABCC4	48	5	0.385352	5.216943	9.317471	7.054288e-12	-0.069191	-0.801453	0.427276	-0.004728	-0.100209	0.920644	0.190282	0.201418	0.841322	2.708742	0.591967	0.556972
hsa-miR-1	ABCC5	48	5	0.424485	6.366466	14.579631	3.013165e-18	0.034075	0.506098	0.615373	-0.027482	-0.746896	0.459191	-0.62791	-0.852242	0.398802	3.40527	0.954218	0.345307
hsa-miR-1	ABCC6	48	5	0.757926	4.596243	16.178026	6.754291e-20	-0.012034	-0.274702	0.784861	0.002531	0.105721	0.916295	-0.255033	-0.532031	0.597443	3.80286	1.637876	0.108746
hsa-miR-1	ABCC6P1	48	5	1.599345	3.519882	13.954762	1.436987e-17	0.018318	0.47099	0.640029	-0.033206	-1.562321	0.125543	-0.079427	-0.18663	0.852828	3.618902	1.755574	0.086283
hsa-miR-1	ABCC6P2	48	5	2.366777	4.765872	11.576481	8.461039e-15	0.039151	0.616763	0.540643	-0.074957	-2.160758	0.036329	-0.455765	-0.656134	0.515234	7.327914	2.178024	0.034935
hsa-miR-1	ABCC8	48	5	0.360608	4.613091	19.473568	5.962216e-23	0.023896	0.65423	0.516448	-0.011342	-0.568194	0.572859	0.302024	0.755635	0.453988	-0.093045	-0.048061	0.96189
hsa-miR-1	ABCC9	48	5	1.340844	2.77805	10.178305	5.034705e-13	0.053906	1.280907	0.207092	-0.025792	-1.121446	0.268322	0.420521	0.913146	0.366257	1.433957	0.642865	0.523725
hsa-miR-1	ABCD1	48	5	0.997482	5.79268	17.301737	5.481603e-21	0.009371	0.181527	0.856807	-0.054502	-1.93187	0.059982	-0.09896	-0.175181	0.86176	-0.513518	-0.187678	0.852012
hsa-miR-1	ABCD1P2	48	5	0.687667	3.14958	11.438415	1.252462e-14	0.033985	0.800463	0.427843	-0.012581	-0.542215	0.590469	0.631815	1.359943	0.180936	-1.128257	-0.501383	0.618659
hsa-miR-1	ABCD2	48	5	0.973952	2.631931	5.255695	4.364053e-06	0.047297	0.612543	0.543405	-0.026702	-0.632778	0.53023	-1.455151	-1.72219	0.092222	5.237616	1.279786	0.207482
