symbol	GSM2226789	GSM2774696	GSM1855320	GSM2774692	GSM2774693	GSM2477391	GSM2700242	GSM2195412	GSM2195413	GSM2700241	GSM2226790	GSM2226787	GSM3936839	GSM2700245	GSM3685851	GSM1855317	GSM3685848	GSM1855318	GSM2195415	GSM3685853	GSM2477390	GSM2774694	GSM2700244	GSM2195410	GSM3936840
AAAS	6.001987571	6.37355613	5.857191276	5.867251635	5.448752417	5.97478857	6.002123164	5.741143465	6.273504094	6.314834347	6.15192441	5.78502984	5.23310658	5.837006917	5.616461965	5.889105873	6.168114445	6.1810984	5.363922015	5.987147914	5.835131959	5.152286785	5.566129493	5.776873313	5.454974734
AACS	6.442703481	6.264945069	6.884751971	6.238537215	6.174058924	6.549112245	6.474335857	6.481050045	6.825770604	6.437730744	6.787460244	6.504993465	6.490850873	6.386249314	6.386517233	6.530687115	6.221439486	6.661202514	6.443547025	6.621455986	7.003302593	6.412961351	6.738946397	6.423935343	6.470948671
AACSP1	3.477861321	3.205834919	3.379087511	3.15777857	3.473256629	3.074650218	3.071578231	3.210732131	3.371885408	2.937791214	3.338773999	2.938103086	2.860024187	3.181765136	3.18088972	2.788676475	3.156953585	3.33272943	2.988987275	3.178369685	2.766111272	3.00412512	3.093218753	4.197533573	2.962218308
AADAC	3.433276771	3.539221263	3.649286009	3.373985591	3.324770923	3.583890466	3.822156988	3.461480144	3.683484899	3.09823167	4.171321859	3.407015332	3.518919195	3.81944561	3.410556888	3.435895261	3.597223071	3.741463365	3.149704726	3.367340905	3.645042288	3.365974816	3.619226008	3.180926575	3.447354972
AADACL2	1.916960048	2.476126041	2.167484103	2.08033838	2.125907307	1.591329239	1.874669864	2.071966556	1.743000159	2.158052233	2.218181024	1.325260748	1.658173102	2.050640234	1.698290073	2.311138765	1.719414	2.473100816	2.960309826	2.375216022	2.290233375	2.465035854	2.084178408	1.945883887	1.92039957
AADACP1	2.411322359	2.114987179	2.388708105	3.137609112	2.361552306	1.973631277	1.791358023	2.42325068	2.112445752	1.964882081	1.909525276	1.955027901	2.065251893	2.064750833	2.460166195	2.163532026	2.678901344	2.327802227	2.21464028	2.74410951	2.082186784	2.406762846	2.098327335	2.837281272	2.295093977
AADAT	3.191272272	3.525832923	3.154815374	3.837335532	3.025110292	2.992897633	3.351509878	3.743504843	3.119762427	2.77480253	3.148003784	3.005645597	3.119595319	3.235331005	3.274299708	3.80884468	3.140352539	3.594358262	3.232078896	2.955002107	2.362098697	3.118262387	3.104752402	3.405484481	3.109504143
AAED1	6.483779135	6.97113921	6.89043722	7.032070325	7.385150299	6.718346496	6.056814943	6.760080489	6.423147742	6.505657442	6.415613403	6.246049166	7.184218245	6.601032647	6.933203841	6.568226948	6.882952412	6.524000873	6.406534932	6.408236649	6.889565908	6.820238542	6.087451204	6.175962626	6.432802198
AAGAB	4.634404034	5.030286395	5.41972978	5.14835388	5.242407187	4.976449844	5.441154167	4.944469034	5.17881907	5.443543743	4.910955422	5.39011857	5.433643072	5.34314844	5.037902155	4.776525713	5.38319756	4.545019712	4.897221976	5.23643169	4.751012316	5.012165619	5.1790905	4.814963579	4.998767649
AAK1	5.775041233	4.595535221	5.84590695	5.465337109	5.293143404	5.70566368	5.141066849	5.311096369	6.188617631	4.92940456	5.646373711	5.469112975	5.164117702	5.343641185	4.466303388	5.884104211	4.928174891	5.721795805	5.532071824	5.385216455	5.837546475	4.475042032	5.260156235	5.28484358	4.993225146
AAMDC	5.030639226	5.149755579	5.104288194	4.560486882	5.105595263	5.125557158	4.964261073	4.893550764	4.556097249	4.831888904	4.982483566	5.16130181	5.029277701	4.991449045	4.819092473	5.120709762	4.61762178	4.472149263	4.162335518	5.185528349	4.487317028	5.245978379	4.941207681	4.894011206	4.58660672
AAMP	7.69391831	7.637863117	8.039403513	7.901814239	7.911555592	8.068469786	7.940024883	8.010015775	7.911520474	7.89309131	8.175910118	7.708437004	7.973842473	7.628056412	7.614768115	7.884913337	7.813404231	7.9873413	7.822364149	7.749801452	8.03754672	7.83958072	8.270619965	7.588969611	7.897773603
AANAT	2.614977234	2.749514891	2.680101516	2.452306763	2.448129548	3.206969748	2.954134867	2.906352492	2.369989677	2.610286372	3.175170096	3.113250348	2.560100809	2.662901549	2.537000048	2.508081897	2.402956867	2.918751397	2.936319901	2.689676347	2.821951842	3.073690072	2.455878775	2.781032443	3.413566292
AAR2	7.26596507	6.933924167	7.378584507	7.176457818	7.257686166	7.40626728	7.016945886	7.480770903	7.145795895	7.370524147	7.160748162	7.441482391	7.458251335	7.139445112	7.086867789	7.279894894	7.030593127	7.297305504	7.17421574	7.247457485	7.306569947	7.028031605	7.444538412	7.390107362	7.307180087
AARS	7.671826627	7.557532137	8.12981101	7.616563686	7.455323125	7.81752707	7.607348383	7.93109431	8.133789555	7.771232497	8.13294719	7.930806415	7.635887823	7.433105371	7.616289114	7.911055497	7.941734524	7.915500154	7.998270555	7.872178896	8.057600042	7.503843141	7.625779752	7.95463719	7.938470155
AARS2	6.449439483	6.020481878	6.638857123	6.466653616	6.108038093	6.651089138	6.058669362	6.520659936	6.57635175	6.474043407	6.647697139	6.633920582	6.544627726	6.304559746	5.900376351	6.567405397	6.06972886	6.301004158	6.338109877	6.528662383	6.655372085	6.258089131	6.423629467	6.504795903	6.548051219
AARSD1	5.757995301	5.889008321	6.132861318	6.234151518	5.946366401	5.871844918	5.892191306	6.243323571	6.206670333	5.949629253	6.183258424	6.04058675	6.629551157	5.791049788	5.817145739	6.014135013	6.319434595	5.97478857	5.928739869	5.88562036	6.143853526	6.021039599	6.218821869	5.931799891	6.588468843
AASDH	6.660976708	6.962714604	6.702162588	6.896711373	6.86397996	6.677062492	6.395932737	6.709522651	6.69179341	6.901142902	6.68252792	6.464254149	7.29583164	6.536010648	6.802631626	6.753570631	6.773867373	6.843922727	6.316054708	6.860795403	6.823782672	6.840492677	6.480938863	6.052997201	7.024109094
