##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_pearson	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_pearson	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
0	58	0.063550	-0.340128	0.447452	0.305395	25	0.213201	0.146342	-0.264065	0.511880	0.709468	25	0.213201	-0.277813	0.781156
0	59	-0.535574	-0.768151	-0.178135	-3.041515	25	0.213201	0.318090	-0.088123	0.633592	1.609084	25	0.213201	-3.076004	0.002098
0	60	0.342253	-0.061155	0.649547	1.746884	25	0.213201	0.371949	-0.027184	0.668793	1.921676	25	0.213201	-0.112900	0.910110
0	61	0.361809	-0.038888	0.662266	1.861273	25	0.213201	-0.162780	-0.524200	0.248330	-0.791218	25	0.213201	1.801614	0.071606
0	62	0.217546	-0.194293	0.564185	1.068913	25	0.213201	0.441716	0.056428	0.712496	2.361240	25	0.213201	-0.840044	0.400884
0	63	-0.325272	-0.638362	0.080170	-1.649655	25	0.213201	0.288365	-0.120503	0.613587	1.444301	25	0.213201	-2.103778	0.035398
0	64	0.527057	0.166620	0.763242	2.974331	25	0.213201	-0.048480	-0.435279	0.353427	-0.232778	25	0.213201	2.104662	0.035321
0	65	0.001517	-0.393856	0.396417	0.007275	25	0.213201	0.536174	0.178950	0.768496	3.046299	25	0.213201	-1.980868	0.047606
0	66	-0.137831	-0.505441	0.272127	-0.667383	25	0.213201	0.495594	0.124919	0.744866	2.736483	25	0.213201	-2.262475	0.023668
0	67	0.009414	-0.387163	0.403052	0.045151	25	0.213201	0.093571	-0.313144	0.471283	0.450729	25	0.213201	-0.280026	0.779457
0	68	0.059759	-0.343489	0.444403	0.287106	25	0.213201	0.145300	-0.265055	0.511094	0.704309	25	0.213201	-0.286907	0.774183
0	69	0.020002	-0.378124	0.411884	0.095947	25	0.213201	-0.179783	-0.536787	0.231823	-0.876488	25	0.213201	0.669172	0.503386
0	70	-0.232549	-0.574863	0.179040	-1.146703	25	0.213201	-0.164186	-0.525247	0.246974	-0.798241	25	0.213201	-0.236134	0.813329
0	71	-0.372530	-0.669166	0.026510	-1.925164	25	0.213201	-0.138608	-0.506030	0.271393	-0.671220	25	0.213201	-0.835297	0.403550
0	72	-0.083858	-0.463633	0.321947	-0.403593	25	0.213201	0.139091	-0.270937	0.506397	0.673605	25	0.213201	-0.743104	0.457418
