Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
52	26	50.000000	2.000000	0.124049	8.354289	4.668005	0.000025	-0.761555	-0.352207	0.726225
52	27	50.000000	2.000000	0.014326	6.768725	8.055490	1.815755e-10	0.121506	0.119690	0.905228
52	28	50.000000	2.000000	0.054638	7.920217	4.826171	0.000015	-0.463453	-0.233747	0.816175
52	29	50.000000	2.000000	0.057516	7.060887	5.005256	7.918616e-06	0.408744	0.239824	0.811488
52	30	50.000000	2.000000	0.256961	6.511550	4.672018	0.000024	0.853570	0.506913	0.614537
52	31	50.000000	2.000000	0.464136	5.978861	16.220671	4.108885e-21	0.303388	0.681275	0.498971
52	32	50.000000	2.000000	0.032642	6.594299	11.076020	8.034163e-15	-0.129957	-0.180672	0.857386
52	33	50.000000	2.000000	0.195675	7.479233	7.717005	5.910155e-10	-0.517967	-0.442352	0.660221
52	34	50.000000	2.000000	0.005190	7.043991	6.325155	7.973922e-08	0.096926	0.072039	0.942870
52	35	50.000000	2.000000	1.070724	8.466706	7.454788	1.481898e-09	-1.419853	-1.034758	0.305967
52	36	50.000000	2.000000	0.156597	7.942098	5.797119	5.110212e-07	-0.654998	-0.395723	0.694063
52	37	50.000000	2.000000	0.281956	6.284981	6.955750	8.596221e-09	0.579664	0.530996	0.597870
52	38	50.000000	2.000000	0.049272	8.440885	3.266804	0.002012	-0.692928	-0.221972	0.825277
52	39	50.000000	2.000000	0.441527	7.056601	9.802681	4.843803e-13	-0.577902	-0.664475	0.509566
52	40	50.000000	2.000000	0.000501	6.574820	8.364975	6.219181e-11	0.021259	0.022387	0.982232
52	41	50.000000	2.000000	0.096600	7.736780	4.951982	9.492222e-06	-0.586671	-0.310805	0.757295
52	42	50.000000	2.000000	1.388224	7.617989	13.640869	3.908607e-18	-0.794975	-1.178230	0.244513
52	43	50.000000	2.000000	0.389779	5.982160	16.237465	3.939229e-21	0.277891	0.624323	0.535372
52	44	50.000000	2.000000	0.034956	7.388695	4.744111	0.000019	-0.351804	-0.186966	0.852475
52	45	50.000000	2.000000	0.037537	7.440312	6.763824	1.693206e-08	-0.257485	-0.193744	0.847194
52	46	50.000000	2.000000	0.392786	9.033542	6.073847	1.933702e-07	-1.126154	-0.626727	0.533808
52	47	50.000000	2.000000	0.000629	6.692401	5.744984	6.133331e-07	-0.035309	-0.025088	0.980089
52	48	50.000000	2.000000	0.771193	8.062019	7.673988	6.870264e-10	-1.114627	-0.878176	0.384223
52	49	50.000000	2.000000	0.306823	6.594429	10.606269	3.559892e-14	-0.416086	-0.553916	0.582208
52	50	50.000000	2.000000	0.000725	6.771516	5.666702	8.063480e-07	0.038873	0.026926	0.978630
