Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
LINC00363	ABCC10	50	2	0.515906	6.89092	29.1348	3.59073e-32	-0.026893	-0.718266	0.476075
LINC00363	ABCC11	50	2	0.697491	3.329314	13.212199	1.31949e-17	0.033315	0.835159	0.407766
LINC00363	ABCC12	50	2	0.25145	2.835765	12.484936	1.096075e-16	-0.01803	-0.501448	0.618348
LINC00363	ABCC13	50	2	5.922904	3.427663	7.329924	2.298607e-09	0.180157	2.433702	0.018718
LINC00363	ABCC2	50	2	0.093674	4.24294	12.755297	4.950275e-17	0.016117	0.306063	0.76088
LINC00363	ABCC3	50	2	0.293849	5.667634	23.98069	2.272954e-28	0.020281	0.542078	0.590273
LINC00363	ABCC4	50	2	0.002221	4.737581	10.060242	2.079997e-13	0.003513	0.047123	0.962611
LINC00363	ABCC5	50	2	0.949526	6.175679	17.008942	5.864516e-22	0.056008	0.974436	0.334726
LINC00363	ABCC6	50	2	0.355756	4.664948	19.471157	1.996628e-24	-0.022621	-0.596453	0.553675
LINC00363	ABCC6P1	50	2	0.214156	3.702561	16.66448	1.362058e-21	-0.016277	-0.46277	0.64562
LINC00363	ABCC6P2	50	2	0.004018	4.920595	13.346416	8.992869e-18	-0.003699	-0.063386	0.949722
LINC00363	ABCC8	50	2	1.830655	4.491997	23.222118	9.430678e-28	0.041431	1.353017	0.182389
LINC00363	ABCC9	50	2	2.674932	2.696297	11.214632	5.206153e-15	0.062248	1.635522	0.108481
LINC00363	ABCD1	50	2	0.055632	5.682376	19.972376	6.7225e-25	0.010623	0.235863	0.814542
LINC00363	ABCD1P2	50	2	0.362965	3.206645	13.494609	5.904552e-18	0.022663	0.602466	0.549699
LINC00363	ABCD2	50	2	1.47531	2.382801	5.682598	7.62802e-07	0.080625	1.214623	0.230451
LINC00363	ABCD3	50	2	0.009608	5.690499	20.666283	1.542651e-25	0.004273	0.09802	0.922325
LINC00363	ABCD4	50	2	2.417984	5.958047	37.73877	2.423512e-37	-0.038862	-1.554987	0.126519
LINC00363	ABCE1	50	2	0.250185	6.876146	18.05617	4.872814e-23	-0.030153	-0.500185	0.61923
LINC00363	ABCF1	50	2	4.201855	8.515463	31.80703	6.519855e-34	-0.086874	-2.049843	0.045864
LINC00363	ABCF2	50	2	7.04423	6.518773	23.219934	9.469922e-28	-0.117953	-2.654097	0.010754
LINC00363	ABCF3	50	2	2.796274	7.116437	38.283024	1.245558e-37	-0.049208	-1.672206	0.100991
LINC00363	ABCG1	50	2	0.101215	6.298107	15.105766	7.239755e-20	0.020998	0.318142	0.751757
LINC00363	ABCG2	50	2	2.287723	3.522754	4.09706	0.00016	0.205872	1.512522	0.136958
LINC00363	ABCG4	50	2	0.447959	5.223482	18.827473	8.347462e-24	0.029395	0.669298	0.506512
LINC00363	ABCG5	50	2	1.171226	3.422625	9.505995	1.295117e-12	-0.061683	-1.082232	0.284556
LINC00363	ABCG8	50	2	0.038755	4.233617	10.648675	3.108675e-14	0.01239	0.196863	0.844766
LINC00363	ABHD1	50	2	0.477726	4.099016	13.954268	1.629208e-18	-0.03214	-0.691177	0.492784
LINC00363	ABHD10	50	2	1.426869	6.160969	16.197018	4.360519e-21	0.071927	1.194516	0.238145
LINC00363	ABHD11	50	2	2.085043	5.79559	32.877796	1.424652e-34	0.040294	1.443967	0.155244
LINC00363	ABHD12	50	2	0.830773	5.272799	17.435682	2.099941e-22	-0.043634	-0.911468	0.366604
LINC00363	ABHD12B	50	2	0.868833	2.635204	13.28129	1.082854e-17	-0.029277	-0.932112	0.355944
LINC00363	ABHD13	50	2	0.258115	4.391147	7.296221	2.588059e-09	0.048403	0.508051	0.613745
LINC00363	ABHD14A	50	2	0.856799	7.258279	28.554132	8.962159e-32	-0.037247	-0.925634	0.359267
LINC00363	ABHD14A-ACY1	50	2	0.311268	5.571594	20.516079	2.114343e-25	-0.023985	-0.557913	0.579497
LINC00363	ABHD14B	50	2	1.575441	7.663785	28.642817	7.785395e-32	-0.053164	-1.255166	0.215495
LINC00363	ABHD15	50	2	0.089204	5.854054	19.486187	1.93189e-24	-0.014204	-0.29867	0.766481
LINC00363	ABHD16A	50	2	0.265269	6.025502	38.285313	1.242099e-37	0.012832	0.515043	0.608887
LINC00363	ABHD16B	50	2	4.432068	2.791518	7.201355	3.614686e-09	0.129186	2.105248	0.040528
LINC00363	ABHD17A	50	2	0.872611	10.474262	43.162392	4.612481e-40	-0.035885	-0.934138	0.354908
LINC00363	ABHD17B	50	2	2.445654	5.815652	16.818398	9.332686e-22	-0.085605	-1.563859	0.12442
LINC00363	ABHD17C	50	2	0.171455	5.026177	11.059594	8.459421e-15	-0.029789	-0.414072	0.680666
LINC00364	A1BG	50	2	0.187942	5.6768	37.945812	1.879389e-37	-0.00926	-0.433523	0.666577
LINC00364	A1BG-AS1	50	2	0.540321	5.138159	30.531729	4.245173e-33	-0.017663	-0.735065	0.465876
LINC00364	A1CF	50	2	0.071932	3.435565	26.428579	2.953866e-30	-0.004978	-0.2682	0.789694
LINC00364	A2M	50	2	3.545521	4.320014	26.606016	2.185934e-30	-0.043654	-1.882956	0.065774
LINC00364	A2M-AS1	50	2	4.643686	8.551674	19.407913	2.294171e-24	-0.135577	-2.154922	0.036214
LINC00364	A2ML1	50	2	0.134682	2.966469	23.903894	2.620546e-28	-0.006503	-0.36699	0.71524
LINC00364	A2MP1	50	2	0.650702	4.153939	19.308781	2.854287e-24	0.024779	0.806661	0.423841
LINC00364	A4GALT	50	2	1.388288	4.789068	41.246952	3.853322e-39	0.019533	1.178255	0.244503
LINC00364	A4GNT	50	2	2.11947	4.749259	28.776609	6.300468e-32	-0.034307	-1.45584	0.151947
LINC00364	AA06	50	2	0.649979	4.535195	24.247398	1.39077e-28	-0.021531	-0.806213	0.424097
LINC00364	AAAS	50	2	0.778069	5.641654	29.63641	1.650818e-32	0.023976	0.882082	0.382128
LINC00364	AACS	50	2	1.789597	6.723293	56.086582	2.03671e-45	-0.022897	-1.337758	0.187279
LINC00364	AACSP1	50	2	0.007937	3.184107	16.7878	1.005913e-21	0.002413	0.089091	0.92938
LINC00364	AADAC	50	2	0.163083	3.434344	23.691252	3.894025e-28	0.008359	0.403836	0.688127
