Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
0	55	48.000000	5.000000	0.973683	4.165498	28.358490	1.825189e-29	0.353995	1.854647	0.070512	0.004024	0.145394	0.885079	0.214738	0.395555	0.694389	1.675099	0.627635	0.533562
0	56	48.000000	5.000000	0.744544	4.646539	36.829254	3.724042e-34	0.193748	1.181812	0.243775	-0.013170	-0.554040	0.582421	-0.408876	-0.876874	0.385428	1.319247	0.575493	0.567957
0	57	48.000000	5.000000	1.021188	6.525743	70.241356	5.242445e-46	-0.045041	-0.373094	0.710911	0.025729	1.469890	0.148871	0.258333	0.752358	0.455935	-2.374703	-1.406770	0.166682
0	58	48.000000	5.000000	1.153657	6.580027	52.960777	8.576514e-41	0.180671	1.119084	0.269317	0.025554	1.091647	0.281067	-0.430371	-0.937243	0.353868	-0.250611	-0.111014	0.912122
0	59	48.000000	5.000000	0.820650	3.647076	27.365551	7.811341e-29	-0.212441	-1.226718	0.226603	0.018465	0.735379	0.466101	-0.246961	-0.501384	0.618658	-1.089662	-0.449989	0.654979
0	60	48.000000	5.000000	1.665468	2.676267	22.458185	2.218998e-25	-0.031757	-0.205082	0.838476	0.033757	1.503497	0.140021	-0.097843	-0.222155	0.825245	3.407073	1.573538	0.122924
0	61	48.000000	5.000000	0.187903	4.643317	16.923294	1.259486e-20	-0.162148	-0.454794	0.651545	0.013713	0.265278	0.792063	-0.426534	-0.420622	0.676126	-1.113103	-0.223276	0.824378
0	62	48.000000	5.000000	1.073029	4.112742	24.187876	1.148211e-26	0.304642	1.378808	0.175085	0.029237	0.912628	0.366527	-0.547273	-0.870869	0.388662	4.590886	1.485982	0.144580
0	63	48.000000	5.000000	3.048888	5.706236	49.279446	1.808744e-39	0.053640	0.356493	0.723215	0.031117	1.426305	0.161001	0.664766	1.553343	0.127671	-6.705085	-3.186919	0.002679
0	64	48.000000	5.000000	0.235529	4.722226	18.460817	4.661713e-22	0.078044	0.234798	0.815480	-0.009096	-0.188744	0.851181	0.322950	0.341603	0.734313	2.477734	0.533101	0.596708
0	65	48.000000	5.000000	0.519863	6.442052	32.649887	5.550037e-32	0.202746	0.790781	0.433412	-0.016475	-0.443171	0.659864	-0.626176	-0.858691	0.395273	4.107813	1.145826	0.258204
0	66	48.000000	5.000000	0.976754	4.629027	36.246529	7.240453e-34	-0.156957	-0.945814	0.349528	-0.004491	-0.186636	0.852824	-0.279383	-0.591916	0.557007	3.346383	1.442126	0.156511
