Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
cg02842889	AAED1	48	5	0.505713	6.575076	79.017044	3.448244e-48	-0.492513	-1.011111	0.317619	0.017939	0.517171	0.607687	0.398073	0.582457	0.563301	2.110445	0.61642	0.540867
cg02842889	AAGAB	48	5	0.146599	5.118354	82.035843	6.949399e-49	0.12803	0.350545	0.727641	-0.000496	-0.019068	0.984875	-0.157666	-0.307674	0.759815	1.403117	0.546576	0.587495
cg02842889	AAK1	48	5	0.597865	5.324156	52.216595	1.561795e-40	0.707152	1.184762	0.242619	0.027259	0.641324	0.524716	0.203819	0.243379	0.80887	-1.181419	-0.281608	0.779595
cg02842889	AAMDC	48	5	1.133171	4.88272	70.598457	4.223086e-46	-0.627364	-1.54958	0.128572	0.003897	0.13518	0.8931	0.376403	0.662624	0.511108	3.195817	1.123048	0.267648
cg02842889	AAMP	48	5	1.030256	7.889733	199.135788	2.132739e-65	-0.367156	-1.583062	0.120736	0.012218	0.739773	0.463458	-0.264935	-0.814153	0.420043	0.62114	0.38103	0.705057
cg02842889	AANAT	48	5	1.091702	2.828326	35.749371	1.287005e-33	0.352032	0.760121	0.45133	-0.046962	-1.423965	0.161673	-0.079549	-0.12242	0.903137	3.397421	1.04369	0.302461
cg02842889	AAR2	48	5	0.796581	7.207905	189.015411	2.003968e-64	0.079375	0.355577	0.723896	0.002619	0.164749	0.869913	-0.032362	-0.103326	0.918185	-2.22322	-1.416947	0.163703
cg02842889	AARS	48	5	0.885794	7.81378	140.386642	7.036329e-59	-0.158375	-0.486084	0.629376	0.023236	1.001457	0.322208	-0.412425	-0.902174	0.37199	-0.59382	-0.2593	0.796641
cg02842889	AARS2	48	5	0.384705	6.432649	111.248444	1.513378e-54	0.116599	0.344477	0.732167	-0.00396	-0.164301	0.870264	-0.498591	-1.049853	0.29965	0.041205	0.01732	0.986262
cg02842889	AARSD1	48	5	1.713387	6.145486	115.42865	3.114225e-55	-0.42943	-1.377878	0.17537	0.001546	0.069644	0.9448	-0.190674	-0.436044	0.664987	-2.297783	-1.048937	0.300067
cg02842889	AASDH	48	5	0.443279	6.793413	108.263702	4.853518e-54	-0.299426	-0.815164	0.419471	-0.014236	-0.544255	0.589077	0.32699	0.634467	0.529137	-0.512044	-0.198329	0.843723
cg02842889	AASDHPPT	48	5	1.041962	7.603752	142.381485	3.840668e-59	0.47921	1.532893	0.132628	0.011238	0.504825	0.616259	0.383598	0.874544	0.386681	-1.103448	-0.502181	0.618102
cg02842889	AASS	48	5	0.892776	2.819899	38.248734	7.677793e-35	-0.476679	-1.104511	0.275514	-0.023348	-0.759698	0.45158	-0.648567	-1.071072	0.290112	1.559266	0.514028	0.609864
cg02842889	AATF	48	5	1.599704	8.725373	178.943115	2.105019e-63	0.308922	1.082283	0.285159	0.014683	0.722392	0.473964	-0.243628	-0.608329	0.546169	-3.077425	-1.533915	0.132376
cg02842889	AATK	48	5	1.545392	8.125244	138.78804	1.150156e-58	0.428053	1.249034	0.21841	0.019536	0.800488	0.427829	-0.498596	-1.036918	0.30557	3.10214	1.287835	0.204691
cg02842889	AB074162	48	5	1.096695	6.689924	45.827805	3.878486e-38	-0.718263	-0.840528	0.405262	0.027355	0.449526	0.65531	-1.567771	-1.307588	0.197962	-0.08901	-0.014819	0.988245
cg02842889	AB488780	48	5	0.480465	5.937916	103.864594	2.869659e-53	-0.228222	-0.681949	0.498928	0.023119	0.970105	0.33742	-0.303425	-0.646198	0.521585	1.404142	0.596936	0.553681
cg02842889	ABAT	48	5	1.051671	8.163937	76.702286	1.227465e-47	1.155108	1.853924	0.070618	-0.015378	-0.346602	0.730581	-0.850531	-0.972924	0.336033	0.285749	0.065249	0.948278
cg02842889	ABCA1	48	5	0.615033	5.523388	55.009712	1.716084e-41	-0.618982	-1.053107	0.298174	-0.012323	-0.294409	0.769862	0.326515	0.395929	0.694115	3.473844	0.840867	0.405074
cg02842889	ABCA11P	48	5	0.845336	4.253748	49.129055	2.058171e-39	-0.692566	-1.366434	0.178906	-0.005376	-0.14894	0.882297	-0.424434	-0.596839	0.553745	5.327351	1.495412	0.142111
cg02842889	ABCA12	48	5	1.038516	1.980549	28.765265	1.019446e-29	0.13048	0.323732	0.74771	-0.024131	-0.840761	0.405133	-0.269446	-0.476469	0.636153	4.647458	1.640519	0.108193
cg02842889	ABCA13	48	5	0.942623	1.808902	31.734793	1.79675e-31	-0.012737	-0.038173	0.969726	-0.016418	-0.690956	0.493307	0.553489	1.182252	0.243602	0.793417	0.338302	0.736782
cg02842889	ABCA17P	48	5	0.826857	3.644096	37.834442	1.210252e-34	0.670302	1.188854	0.241021	-0.054742	-1.363418	0.179847	-0.520013	-0.657344	0.514463	-1.940039	-0.489543	0.626945
cg02842889	ABCA2	48	5	0.433967	4.948659	89.338547	1.813533e-50	-0.315722	-0.973683	0.33566	-0.003937	-0.170484	0.865429	-0.151112	-0.332147	0.741392	-0.189741	-0.083252	0.934038
cg02842889	ABCA3	48	5	0.549547	5.565777	96.953873	5.473715e-52	-0.276772	-0.823613	0.414705	0.017523	0.732242	0.467994	-0.386087	-0.818851	0.417387	0.736101	0.311645	0.756817
