Marker1	Marker2	Correlation	Lower	Upper	t-statistic
LINC00271	LINC00365	0.297191	0.020537	0.531570	2.156430
LINC00271	LINC00366	-0.190838	-0.445524	0.092425	-1.346915
LINC00271	LINC00368	0.751933	0.598940	0.851967	7.902350
LINC00271	LINC00370	0.489748	0.244762	0.675953	3.891746
LINC00271	LINC00374	0.734375	0.573192	0.840846	7.496059
LINC00271	LINC00375	0.298343	0.021801	0.532477	2.165608
LINC00271	LINC00376	0.719170	0.551148	0.831142	7.170861
LINC00271	LINC00377	0.537095	0.304224	0.709392	4.411387
LINC00271	LINC00379	0.592043	0.375586	0.747251	5.089666
LINC00271	LINC00380	0.658935	0.466067	0.792019	6.069184
LINC00271	LINC00381	0.137959	-0.146000	0.400916	0.965037
LINC00271	LINC00382	0.187904	-0.095441	0.443082	1.325444
LINC00271	LINC00383	0.421427	0.162088	0.626310	3.219595
LINC00271	LINC00384	0.469388	0.219746	0.661334	3.682948
LINC00271	LINC00385	0.725714	0.560607	0.835327	7.308029
LINC00271	LINC00388	0.707275	0.534065	0.823503	6.931499
LINC00271	LINC00390	0.697959	0.520784	0.817491	6.752338
LINC00271	LINC00391	0.297671	0.021064	0.531948	2.160253
LINC00271	LINC00392	-0.362689	-0.582259	-0.093807	-2.696379
LINC00271	LINC00393	0.078511	-0.204306	0.349232	0.545627
LINC00271	LINC00397	0.415702	0.155322	0.622074	3.166649
LINC00271	LINC00398	0.610180	0.399718	0.759530	5.335921
LINC00271	LINC00399	0.343354	0.071870	0.567471	2.532804
LINC00271	LINC00400	0.574468	0.352478	0.735250	4.862425
LINC00271	LINC00402	0.537025	0.304135	0.709343	4.410577
LINC00271	LINC00404	0.720786	0.553479	0.832177	7.204344
LINC00271	LINC00408	0.739352	0.580458	0.844007	7.607651
LINC00271	LINC00411	0.495318	0.251663	0.679927	3.950292
LINC00271	LINC00412	0.724466	0.558799	0.834530	7.281543
LINC00271	LINC00421	0.700569	0.524496	0.819178	6.801835
LINC00271	LINC00423	0.603938	0.391379	0.755316	5.249732
LINC00271	LINC00424	0.686050	0.503930	0.809767	6.532981
LINC00271	LINC00426	-0.295558	-0.530285	-0.018748	-2.143446
LINC00271	LINC00430	-0.026651	-0.302757	0.253583	-0.184707
LINC00271	LINC00431	0.426671	0.168308	0.630180	3.268512
LINC00271	LINC00433	0.328788	0.055516	0.556234	2.412005
LINC00271	LINC00437	0.429014	0.171093	0.631906	3.290493
